,Colleges,Program,Gender,Seat Type,Quota
0,"Assam University, Silchar","Aerospace Engineering (4 Years, Bachelor of Technology)",Female-only (including Supernumerary),EWS,AI
1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,EWS (PwD),AP
2,"Birla Institute of Technology, Mesra, Ranchi","Agricultural Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,GO
3,Central University of Jammu,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",,OBC-NCL (PwD),HS
4,"Central University of Rajasthan, Rajasthan","Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",,OPEN,JK
5,"Central institute of Technology Kokrajar, Assam","Applied Geology (4 Years, Bachelor of Science)",,OPEN (PwD),LA
6,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)","Applied Geology (5 Years, Integrated Master of Science)",,SC,OS
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Applied Geology (5 Years, Integrated Master of Technology)",,SC (PwD),
8,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","Applied Geophysics (5 Years, Integrated Master of Technology)",,ST,
9,"Gurukula Kangri Vishwavidyalaya, Haridwar","Applied Mathematics (5 Years, Integrated Master of Science)",,ST (PwD),
10,HNB Garhwal University Srinagar (Garhwal),"Architecture (5 Years, Bachelor of Architecture)",,,
11,"Indian Institute of Carpet Technology, Bhadohi","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",,,
12,"Indian Institute of Engineering Science and Technology, Shibpur","Artificial Intelligence (4 Years, Bachelor of Technology)",,,
13,"Indian Institute of Handloom Technology(IIHT), Varanasi","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",,,
14,Indian Institute of Information Technology (IIIT) Nagpur,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",,,
15,Indian Institute of Information Technology (IIIT) Pune,"B. Tech. Computer Science and Engineering and M. Tech. Computer Science and Engineering with specialization in Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
16,Indian Institute of Information Technology (IIIT) Ranchi,"B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in Communication Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
17,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in VLSI Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
18,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","B. Tech. Mechanical Engineering and M. Tech. Mechanical Engineering with specialization in Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
19,Indian Institute of Information Technology Bhagalpur,"B. Tech. Mechanical Engineering and M. Tech. in Mechanical Engineering with specialization in Product Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
20,Indian Institute of Information Technology Bhopal,"BS in Mathematics (4 Years, Bachelor of Science)",,,
21,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Bio Engineering (4 Years, Bachelor of Technology)",,,
22,Indian Institute of Information Technology Guwahati,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
23,Indian Institute of Information Technology Lucknow,"Bio Medical Engineering (4 Years, Bachelor of Technology)",,,
24,Indian Institute of Information Technology Manipur,"Bio Technology (4 Years, Bachelor of Technology)",,,
25,"Indian Institute of Information Technology Srirangam, Tiruchirappalli","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
26,Indian Institute of Information Technology Surat,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
27,Indian Institute of Information Technology Tiruchirappalli,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
28,Indian Institute of Information Technology(IIIT) Dharwad,"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
29,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
30,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",,,
31,Indian Institute of Information Technology(IIIT) Kottayam,"Biomedical Engineering (4 Years, Bachelor of Technology)",,,
32,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Biosciences and Bioengineering (4 Years, Bachelor of Technology)",,,
33,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
34,"Indian Institute of Information Technology, Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",,,
35,"Indian Institute of Information Technology, Allahabad","Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
36,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",,,
37,"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)","Carpet and Textile Technology (4 Years, Bachelor of Technology)",,,
38,Indian Institute of Technology (BHU) Varanasi,"Ceramic Engineering (4 Years, Bachelor of Technology)",,,
39,Indian Institute of Technology (ISM) Dhanbad,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
40,Indian Institute of Technology Bhilai,"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
41,Indian Institute of Technology Bhubaneswar,"Chemical Engineering (4 Years, Bachelor of Technology)",,,
42,Indian Institute of Technology Bombay,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
43,Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Integrated Masters in Technology)",,,
44,Indian Institute of Technology Dharwad,"Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",,,
45,Indian Institute of Technology Gandhinagar,"Chemical Science and Technology (4 Years, Bachelor of Technology)",,,
46,Indian Institute of Technology Goa,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
47,Indian Institute of Technology Guwahati,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",,,
48,Indian Institute of Technology Hyderabad,"Chemistry (4 Years, Bachelor of Science)",,,
49,Indian Institute of Technology Indore,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
50,Indian Institute of Technology Jammu,"Chemistry (5 Years, Integrated Master of Science)",,,
51,Indian Institute of Technology Jodhpur,"Chemistry with Specialization (4 Years, Bachelor of Science)",,,
52,Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",,,
53,Indian Institute of Technology Kharagpur,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
54,Indian Institute of Technology Madras,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
55,Indian Institute of Technology Mandi,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
56,Indian Institute of Technology Palakkad,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
57,Indian Institute of Technology Patna,"Civil Engineering with Specialization in Construction Technology and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
58,Indian Institute of Technology Roorkee,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
59,Indian Institute of Technology Ropar,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",,,
60,Indian Institute of Technology Tirupati,"Computational Engineering (4 Years, Bachelor of Technology)",,,
61,"Indian institute of information technology, Raichur, Karnataka","Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
62,"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","Computational and Data Science (4 Years, Bachelor of Technology)",,,
63,"Institute of Infrastructure, Technology, Research and Management-Ahmedabad","Computer Engineering (4 Years, Bachelor of Technology)",,,
64,"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)","Computer Science & Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",,,
65,"International Institute of Information Technology, Bhubaneswar","Computer Science (4 Years, Bachelor of Technology)",,,
66,"International Institute of Information Technology, Naya Raipur","Computer Science (5 Years, Integrated Master of Technology)",,,
67,"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad","Computer Science Engineering (Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))",,,
68,"Jawaharlal Nehru University, Delhi","Computer Science Engineering (Artificial lntelligence and Machine Learning) (4 Years, Bachelor of Technology)",,,
69,Malaviya National Institute of Technology Jaipur,"Computer Science Engineering (Data Science and Analytics) (4 Years, Bachelor of Technology)",,,
70,Maulana Azad National Institute of Technology Bhopal,"Computer Science Engineering (Data Science) (4 Years, B. Tech / B. Tech (Hons.))",,,
71,"Mizoram University, Aizawl","Computer Science Engineering (Human Computer lnteraction and Gaming Technology) (4 Years, Bachelor of Technology)",,,
72,Motilal Nehru National Institute of Technology Allahabad,"Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)",,,
73,"National Institute of Advanced Manufacturing Technology, Ranchi","Computer Science and Business (4 Years, Bachelor of Technology)",,,
74,"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)","Computer Science and Engineering (4 Years, Bachelor of Technology)",,,
75,"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
76,"National Institute of Food Technology, Entrepreneurship and Management (NIFTEM) - Thanjavur","Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))",,,
77,"National Institute of Foundry & Forge Technology, Hatia, Ranchi","Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)",,,
78,National Institute of Technology Agartala,"Computer Science and Engineering with Specialization in Cyber Security (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
79,National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering with Specialization in Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
80,National Institute of Technology Calicut,"Computer Science and Engineering with specialization in Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",,,
81,National Institute of Technology Delhi,"Computer Science and Engineering with specialization in Cyber Security (4 Years, Bachelor of Technology)",,,
82,National Institute of Technology Durgapur,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",,,
83,National Institute of Technology Goa,"Data Science and Engineering (4 Years, Bachelor of Technology)",,,
84,National Institute of Technology Hamirpur,"Earth Sciences (4 Years, Bachelor of Science)",,,
85,"National Institute of Technology Karnataka, Surathkal","Economics (4 Years, Bachelor of Science)",,,
86,National Institute of Technology Meghalaya,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
87,National Institute of Technology Nagaland,"Economics (5 Years, Integrated Master of Science)",,,
88,National Institute of Technology Patna,"Electrical Engineering (4 Years, Bachelor of Technology)",,,
89,National Institute of Technology Puducherry,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
90,National Institute of Technology Raipur,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",,,
91,National Institute of Technology Sikkim,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",,,
92,"National Institute of Technology, Andhra Pradesh","Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
93,"National Institute of Technology, Jamshedpur","Electrical Engineering with M.Tech. in Communications and Signal Processing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
94,"National Institute of Technology, Kurukshetra","Electrical Engineering with M.Tech. in Microelectronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
95,"National Institute of Technology, Manipur","Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
96,"National Institute of Technology, Mizoram","Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
97,"National Institute of Technology, Rourkela","Electrical Engineering with Specialization In Power System Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
98,"National Institute of Technology, Silchar","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",,,
99,"National Institute of Technology, Srinagar","Electrical and Instrumentation Engineering (4 Years, Bachelor of Technology)",,,
100,"National Institute of Technology, Tiruchirappalli","Electronics & Communication Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",,,
101,"National Institute of Technology, Uttarakhand","Electronics Engineering (4 Years, Bachelor of Technology)",,,
102,"National Institute of Technology, Warangal","Electronics System Engineering (4 Years, Bachelor of Technology)",,,
103,"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,,
104,"North-Eastern Hill University, Shillong","Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
105,"Pondicherry Engineering College, Puducherry","Electronics and Communication Engineering (Avionics) (4 Years, Bachelor of Technology)",,,
106,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur","Electronics and Communication Engineering (Internet of Things) (4 Years, Bachelor of Technology)",,,
107,"Puducherry Technological University, Puducherry","Electronics and Communication Engineering (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",,,
108,"Punjab Engineering College, Chandigarh","Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things) (4 Years, B. Tech / B. Tech (Hons.))",,,
109,Sant Longowal Institute of Engineering and Technology,"Electronics and Communication Engineering with Specialization in Microelectronics and VLSI System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
110,"Sardar Vallabhbhai National Institute of Technology, Surat","Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",,,
111,"School of Engineering, Tezpur University, Napaam, Tezpur","Electronics and Communication Engineering with specialization in VLSI and Embedded Systems (4 Years, Bachelor of Technology)",,,
112,"School of Planning & Architecture, Bhopal","Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",,,
113,"School of Planning & Architecture, New Delhi","Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
114,School of Planning & Architecture: Vijayawada,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",,,
115,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",,,
116,University of Hyderabad,"Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",,,
117,"Visvesvaraya National Institute of Technology, Nagpur","Energy Engineering (4 Years, Bachelor of Technology)",,,
118,"lndian Institute of Food Processing Technology, Thanjavur, Tamil Naidu.","Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
119,,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
120,,"Engineering Physics (4 Years, Bachelor of Technology)",,,
121,,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
122,,"Engineering Science (4 Years, Bachelor of Technology)",,,
123,,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",,,
124,,"Environmental Engineering (4 Years, Bachelor of Technology)",,,
125,,"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
126,,"Exploration Geophysics (4 Years, Bachelor of Science)",,,
127,,"Exploration Geophysics (5 Years, Integrated Master of Science)",,,
128,,"Food Engineering and Technology (4 Years, Bachelor of Technology)",,,
129,,"Food Process Engineering (4 Years, Bachelor of Technology)",,,
130,,"Food Technology (4 Years, Bachelor of Technology)",,,
131,,"Food Technology (5 Years, Integrated Master of Science)",,,
132,,"Food Technology and Management (4 Years, Bachelor of Technology)",,,
133,,"Geological Technology (5 Years, Integrated Master of Technology)",,,
134,,"Geophysical Technology (5 Years, Integrated Master of Technology)",,,
135,,"Handloom and Textile Technology (4 Years, Bachelor of Technology)",,,
136,,"Industrial Chemistry (4 Years, Bachelor of Technology)",,,
137,,"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
138,,"Industrial Design (4 Years, Bachelor of Technology)",,,
139,,"Industrial and Production Engineering (4 Years, Bachelor of Technology)",,,
140,,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",,,
141,,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
142,,"Information Technology (4 Years, Bachelor of Technology)",,,
143,,"Information Technology (Under Flexible Academic Program) (4 Years, Bachelor of Technology)",,,
144,,"Information Technology-Business Informatics (4 Years, Bachelor of Technology)",,,
145,,"Instrumentation Engineering (4 Years, Bachelor of Technology)",,,
146,,"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,,
147,,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",,,
148,,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",,,
149,,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and M. Tech. /MBA)",,,
150,,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",,,
151,,"Interdisciplinary Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
152,,"Life Science (5 Years, Integrated Master of Science)",,,
153,,"Manufacturing Engineering (4 Years, Bachelor of Technology)",,,
154,,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",,,
155,,"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
156,,"Material Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
157,,"Materials Engineering (4 Years, Bachelor of Technology)",,,
158,,"Materials Science and Engineering (4 Years, Bachelor of Technology)",,,
159,,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",,,
160,,"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
161,,"Materials and Metallurgical Engineering (4 Years, Bachelor of Technology)",,,
162,,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
163,,"Mathematics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
164,,"Mathematics (5 Years, Integrated Master of Science)",,,
165,,"Mathematics and Computing (4 Years, Bachelor of Science)",,,
166,,"Mathematics and Computing (4 Years, Bachelor of Technology)",,,
167,,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
168,,"Mathematics and Computing (5 Years, Integrated Master of Science)",,,
169,,"Mathematics and Computing (5 Years, Integrated Master of Technology)",,,
170,,"Mathematics and Computing Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
171,,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
172,,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",,,
173,,"Mechanical Engineering (4 Years, Bachelor of Technology)",,,
174,,"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
175,,"Mechanical Engineering (Manuacturing Engineering) (4 Years, Bachelor of Technology)",,,
176,,"Mechanical Engineering (Welding Technology) (4 Years, Bachelor of Technology)",,,
177,,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
178,,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
179,,"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
180,,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
181,,"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
182,,"Mechanical Engineering with Specialization in Manufacturing and Industrial Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
183,,"Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",,,
184,,"Mechanical Engineering with specialization in Smart Manufacturing (4 Years, Bachelor of Technology)",,,
185,,"Mechatronics Engineering (4 Years, Bachelor of Technology)",,,
186,,"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
187,,"Metallurgical Engineering (4 Years, Bachelor of Technology)",,,
188,,"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
189,,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",,,
190,,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
191,,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
192,,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,,
193,,"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
194,,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
195,,"Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",,,
196,,"Mineral Engineering (4 Years, Bachelor of Technology)",,,
197,,"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",,,
198,,"Mining Engineering (4 Years, Bachelor of Technology)",,,
199,,"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
200,,"Mining Machinery Engineering (4 Years, Bachelor of Technology)",,,
201,,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
202,,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",,,
203,,"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
204,,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",,,
205,,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
206,,"Petroleum Engineering (4 Years, Bachelor of Technology)",,,
207,,"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",,,
208,,"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
209,,"Physics (4 Years, Bachelor of Science)",,,
210,,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
211,,"Physics (5 Years, Integrated Master of Science)",,,
212,,"Physics with Specialization (4 Years, Bachelor of Science)",,,
213,,"Planning (4 Years, Bachelor of Planning)",,,
214,,"Polymer Science and Engineering (4 Years, Bachelor of Technology)",,,
215,,"Production Engineering (4 Years, Bachelor of Technology)",,,
216,,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",,,
217,,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
218,,"Quantitative Economics & Data Science (5 Years, Integrated Master of Science)",,,
219,,"Smart Manufacturing (4 Years, Bachelor of Technology)",,,
220,,"Statistics and Data Science (4 Years, Bachelor of Science)",,,
221,,"Textile Technology (4 Years, Bachelor of Technology)",,,
